Category,Term,Count,X.,PValue,Genes,List.Total,Pop.Hits,Pop.Total,Fold.Enrichment,Bonferroni,Benjamini,FDR
GOTERM_CC_FAT,GO:0005739~mitochondrion,12,34.285714285714285,1.091197689367394E-5,ENSMUSG00000015970;ENSMUSG00000029486;ENSMUSG00000031105;ENSMUSG00000022742;ENSMUSG00000023912;ENSMUSG00000007783;ENSMUSG00000031360;ENSMUSG00000037363;ENSMUSG00000024953;ENSMUSG00000029098;ENSMUSG00000068922;ENSMUSG00000032527,29,12, 84,2.896551724137931,8.28970982205024E-4,8.28970982205024E-4,0.011482083321634473
SP_PIR_KEYWORDS,mitochondrion, 9,25.71428571428571,2.2195196565514563E-4,ENSMUSG00000015970;ENSMUSG00000029486;ENSMUSG00000031105;ENSMUSG00000022742;ENSMUSG00000007783;ENSMUSG00000037363;ENSMUSG00000024953;ENSMUSG00000068922;ENSMUSG00000032527,34, 9,111,3.264705882352941,0.02368839183956606,0.02368839183956606,0.24963361835224074
GOTERM_CC_FAT,GO:0044429~mitochondrial part, 8,22.857142857142858,0.0015922494134198496,ENSMUSG00000015970;ENSMUSG00000029486;ENSMUSG00000031105;ENSMUSG00000022742;ENSMUSG00000007783;ENSMUSG00000037363;ENSMUSG00000068922;ENSMUSG00000032527,29, 8, 84,2.896551724137931,0.11406119323438968,0.058756775978912934,1.662879322583144
SP_PIR_KEYWORDS,acetylation,12,34.285714285714285,0.00846353329524228,ENSMUSG00000015970;ENSMUSG00000024640;ENSMUSG00000030718;ENSMUSG00000030774;ENSMUSG00000022742;ENSMUSG00000036427;ENSMUSG00000056820;ENSMUSG00000024953;ENSMUSG00000017781;ENSMUSG00000030630;ENSMUSG00000034994;ENSMUSG00000032527,34,20,111,1.9588235294117649,0.6006638181875656,0.3680694802334403,9.126793532543953
SP_PIR_KEYWORDS,transit peptide, 6,17.142857142857142,0.008665048159400812,ENSMUSG00000015970;ENSMUSG00000029486;ENSMUSG00000022742;ENSMUSG00000037363;ENSMUSG00000024953;ENSMUSG00000032527,34, 6,111,3.264705882352941,0.6093343739643562,0.2689702241921931,9.334533478530894
UP_SEQ_FEATURE,transit peptide:Mitochondrion, 6,17.142857142857142,0.009049384972922587,ENSMUSG00000015970;ENSMUSG00000029486;ENSMUSG00000022742;ENSMUSG00000037363;ENSMUSG00000024953;ENSMUSG00000032527,34, 6,110,3.2352941176470593,0.6760712975721941,0.6760712975721941,9.965108488722985
GOTERM_CC_FAT,GO:0031975~envelope, 6,17.142857142857142,0.014466634677022236,ENSMUSG00000015970;ENSMUSG00000031105;ENSMUSG00000022742;ENSMUSG00000007783;ENSMUSG00000037363;ENSMUSG00000068922,29, 6, 84,2.896551724137931,0.6696143105337378,0.30868856187080573,14.216573882210238
GOTERM_CC_FAT,GO:0031967~organelle envelope, 6,17.142857142857142,0.014466634677022236,ENSMUSG00000015970;ENSMUSG00000031105;ENSMUSG00000022742;ENSMUSG00000007783;ENSMUSG00000037363;ENSMUSG00000068922,29, 6, 84,2.896551724137931,0.6696143105337378,0.30868856187080573,14.216573882210238
GOTERM_CC_FAT,GO:0005740~mitochondrial envelope, 6,17.142857142857142,0.014466634677022236,ENSMUSG00000015970;ENSMUSG00000031105;ENSMUSG00000022742;ENSMUSG00000007783;ENSMUSG00000037363;ENSMUSG00000068922,29, 6, 84,2.896551724137931,0.6696143105337378,0.30868856187080573,14.216573882210238
GOTERM_MF_FAT,GO:0000166~nucleotide binding,10,28.57142857142857,0.019525792877442535,ENSMUSG00000015970;ENSMUSG00000030774;ENSMUSG00000031360;ENSMUSG00000053093;ENSMUSG00000009418;ENSMUSG00000034472;ENSMUSG00000029098;ENSMUSG00000024948;ENSMUSG00000034994;ENSMUSG00000032527,28,16, 87,1.9419642857142858,0.868802410047878,0.868802410047878,19.7549423437291
GOTERM_MF_FAT,GO:0017076~purine nucleotide binding,10,28.57142857142857,0.019525792877442535,ENSMUSG00000015970;ENSMUSG00000030774;ENSMUSG00000031360;ENSMUSG00000053093;ENSMUSG00000009418;ENSMUSG00000034472;ENSMUSG00000029098;ENSMUSG00000024948;ENSMUSG00000034994;ENSMUSG00000032527,28,16, 87,1.9419642857142858,0.868802410047878,0.868802410047878,19.7549423437291
GOTERM_MF_FAT,GO:0001883~purine nucleoside binding, 8,22.857142857142858,0.0344410209451586,ENSMUSG00000015970;ENSMUSG00000030774;ENSMUSG00000031360;ENSMUSG00000053093;ENSMUSG00000009418;ENSMUSG00000029098;ENSMUSG00000024948;ENSMUSG00000032527,28,12, 87,2.071428571428571,0.9729468957669138,0.8355217210903332,32.37383269571447
GOTERM_MF_FAT,GO:0030554~adenyl nucleotide binding, 8,22.857142857142858,0.0344410209451586,ENSMUSG00000015970;ENSMUSG00000030774;ENSMUSG00000031360;ENSMUSG00000053093;ENSMUSG00000009418;ENSMUSG00000029098;ENSMUSG00000024948;ENSMUSG00000032527,28,12, 87,2.071428571428571,0.9729468957669138,0.8355217210903332,32.37383269571447
GOTERM_MF_FAT,GO:0001882~nucleoside binding, 8,22.857142857142858,0.0344410209451586,ENSMUSG00000015970;ENSMUSG00000030774;ENSMUSG00000031360;ENSMUSG00000053093;ENSMUSG00000009418;ENSMUSG00000029098;ENSMUSG00000024948;ENSMUSG00000032527,28,12, 87,2.071428571428571,0.9729468957669138,0.8355217210903332,32.37383269571447
GOTERM_CC_FAT,GO:0031966~mitochondrial membrane, 5,14.285714285714285,0.0403238972148738,ENSMUSG00000015970;ENSMUSG00000031105;ENSMUSG00000007783;ENSMUSG00000037363;ENSMUSG00000068922,29, 5, 84,2.8965517241379315,0.956199838441155,0.5425233543193504,35.15180332531723
SP_PIR_KEYWORDS,nucleotide-binding, 8,22.857142857142858,0.048382751666162994,ENSMUSG00000030774;ENSMUSG00000031360;ENSMUSG00000053093;ENSMUSG00000009418;ENSMUSG00000034472;ENSMUSG00000024948;ENSMUSG00000034994;ENSMUSG00000032527,34,13,111,2.009049773755656,0.9952801417482263,0.7378908156341626,42.788216333601255
